[ 0.569, 53, 62, 70, 74, 0, 0, 0, 0, 0] 
[ 0.031, 62, 70, 74, 0, 0, 0, 0, 0, 0] 
[ 0.569, 62, 70, 74, 53, 0, 0, 0, 0, 0] 
[ 0.031, 62, 70, 74, 0, 0, 0, 0, 0, 0] 
[ 0.509, 62, 70, 74, 53, 0, 0, 0, 0, 0] 
[ 0.060, 53, 0, 0, 0, 0, 0, 0, 0, 0] 
[ 0.031, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
[ 0.569, 53, 65, 70, 74, 77, 0, 0, 0, 0] 
[ 0.031, 65, 70, 74, 77, 0, 0, 0, 0, 0] 
[ 0.569, 65, 70, 74, 77, 53, 0, 0, 0, 0] 
[ 0.031, 65, 70, 74, 77, 0, 0, 0, 0, 0] 
[ 0.509, 65, 70, 74, 77, 53, 0, 0, 0, 0] 
[ 0.060, 53, 0, 0, 0, 0, 0, 0, 0, 0] 
[ 0.031, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
[ 0.569, 53, 63, 67, 70, 75, 0, 0, 0, 0] 
[ 0.031, 63, 67, 70, 75, 0, 0, 0, 0, 0] 
[ 0.569, 63, 67, 70, 75, 53, 0, 0, 0, 0] 
[ 0.031, 63, 67, 70, 75, 0, 0, 0, 0, 0] 
[ 0.509, 63, 67, 70, 75, 53, 0, 0, 0, 0] 
[ 0.060, 53, 0, 0, 0, 0, 0, 0, 0, 0] 
[ 0.031, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
[ 0.079, 53, 63, 0, 0, 0, 0, 0, 0, 0] 
[ 0.079, 53, 63, 69, 0, 0, 0, 0, 0, 0] 
[ 0.081, 53, 63, 69, 72, 0, 0, 0, 0, 0] 
[ 0.330, 53, 63, 69, 72, 77, 0, 0, 0, 0] 
[ 0.031, 63, 69, 72, 77, 0, 0, 0, 0, 0] 
[ 0.569, 63, 69, 72, 77, 53, 0, 0, 0, 0] 
[ 0.031, 63, 69, 72, 77, 0, 0, 0, 0, 0] 
[ 0.569, 63, 69, 72, 77, 53, 0, 0, 0, 0] 
[ 0.029, 63, 69, 72, 77, 0, 0, 0, 0, 0] 
[ 0.001, 63, 0, 0, 0, 0, 0, 0, 0, 0] 
[ 0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
[ 0.600, 46, 62, 0, 0, 0, 0, 0, 0, 0] 
[ 0.539, 46, 62, 53, 58, 0, 0, 0, 0, 0] 
[ 0.061, 46, 53, 58, 0, 0, 0, 0, 0, 0] 
[ 0.509, 46, 53, 58, 65, 0, 0, 0, 0, 0] 
[ 0.030, 53, 58, 65, 0, 0, 0, 0, 0, 0] 
[ 0.030, 65, 0, 0, 0, 0, 0, 0, 0, 0] 
[ 0.031, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
[ 0.600, 45, 72, 0, 0, 0, 0, 0, 0, 0] 
[ 0.569, 45, 72, 53, 63, 65, 0, 0, 0, 0] 
[ 0.031, 45, 72, 53, 0, 0, 0, 0, 0, 0] 
[ 0.509, 45, 72, 53, 63, 65, 0, 0, 0, 0] 
[ 0.030, 53, 63, 65, 0, 0, 0, 0, 0, 0] 
[ 0.030, 63, 65, 0, 0, 0, 0, 0, 0, 0] 
[ 0.031, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
